distance,resettotal,impactprimnum,impulse,avgposition,betweentime,v,avgimpulse,N,P,parentprimnum,parentobject,impactobject,impacttime
0.6454653143882751,6,-1,0.892429530620575,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.632334232330322, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(1.5956182479858398, 0.0, 1.066738247871399)",169,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.22507719695568085,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.632334232330322, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(0.7717568874359131, 0.0, 5.314808368682861)",378,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.14304473996162415,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.690847396850586, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(2.540170431137085, 0.0, 5.904389381408691)",262,2,0,1.2083333730697632
0.6454653143882751,6,-1,2.0738158226013184,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 5.272917747497559, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(-2.173140048980713, 0.0, 1.448951244354248)",0,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.4849484860897064,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 5.750475883483887, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(-1.335425853729248, 0.0, 4.847651481628418)",156,2,0,1.2083333730697632
2.376553773880005,7,-1,0.7252116203308105,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 4.574801921844482, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(0.6182363629341125, 0.0, 4.299551010131836)",7,2,0,1.25
2.376553773880005,7,-1,0.2043193280696869,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 4.691827774047852, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(3.0380001068115234, 0.0, 5.356158256530762)",66,2,0,1.25
2.376553773880005,7,-1,0.1077275350689888,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 4.883807182312012, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(-2.539984941482544, 0.0, 6.972450256347656)",162,2,0,1.25
2.376553773880005,7,-1,0.7616158723831177,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 4.929266452789307, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(-0.3297141194343567, 0.0, 4.606909275054932)",132,2,0,1.25
2.376553773880005,7,-1,2.0350911617279053,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 5.497191905975342, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(1.609636902809143, 0.0, 2.8394293785095215)",219,2,0,1.25
2.376553773880005,7,-1,0.7882083654403687,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 4.925879955291748, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(1.5086930990219116, 0.0, 4.780440807342529)",303,2,0,1.25
2.376553773880005,7,-1,0.17002451419830322,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 4.925879955291748, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(1.0386704206466675, 0.0, 0.1320895254611969)",309,2,0,1.25
2.376553773880005,7,-1,0.14881233870983124,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 5.202349662780762, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(-1.125970482826233, 0.0, 0.05037091672420502)",337,2,0,1.25
2.376553773880005,7,-1,0.10068520903587341,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 5.647650718688965, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(-0.04840456694364548, 0.0, -0.046621330082416534)",299,2,0,1.25
2.376553773880005,7,-1,0.40102264285087585,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 5.748440265655518, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(-3.0380001068115234, 0.0, 4.43480920791626)",40,2,0,1.25
2.376553773880005,7,-1,0.20710693299770355,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 5.042905807495117, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(3.0380001068115234, 0.0, 3.3364906311035156)",494,2,0,1.25
2.376553773880005,7,-1,2.819052219390869,"(-1.3488423824310303, 2.4598896503448486, 2.0067787170410156)",0.0416666679084301,"(0.0, 5.042905807495117, 0.0)",0.34991195797920227,"(0.0, 1.0, 0.0)","(-0.5294485092163086, 0.0, 2.3262264728546143)",157,2,0,1.25
