P,rest,pscale,name
"(-3.0380001068115234, 19.282535552978516, 0.4593903720378876)","(-3.0380001068115234, 19.282535552978516, 0.4593903720378876)",0.7087328433990479,piece_94
"(-0.3554227948188782, 6.147449970245361, 1.1931334733963013)","(-0.3554227948188782, 6.147449970245361, 1.1931334733963013)",1.328208088874817,piece_95
"(-3.0380001068115234, 18.367511749267578, -0.025099441409111023)","(-3.0380001068115234, 18.367511749267578, -0.025099441409111023)",1.2599611282348633,piece_96
"(-3.0380001068115234, 5.99440336227417, 2.4555864334106445)","(-3.0380001068115234, 5.99440336227417, 2.4555864334106445)",1.2151765823364258,piece_97
"(-3.0380001068115234, 4.868904113769531, 1.7976560592651367)","(-3.0380001068115234, 4.868904113769531, 1.7976560592651367)",0.9668259620666504,piece_98
"(-3.0380001068115234, 17.760387420654297, -3.7583189010620117)","(-3.0380001068115234, 17.760387420654297, -3.7583189010620117)",1.990800142288208,piece_99
"(-3.0380001068115234, 11.744356155395508, 1.8582931756973267)","(-3.0380001068115234, 11.744356155395508, 1.8582931756973267)",1.16937255859375,piece_100
"(3.0380001068115234, 16.19887351989746, 0.8439875841140747)","(3.0380001068115234, 16.19887351989746, 0.8439875841140747)",0.6999948024749756,piece_101
"(3.0380001068115234, 24.299694061279297, -0.8941910266876221)","(3.0380001068115234, 24.299694061279297, -0.8941910266876221)",1.7498887777328491,piece_102
"(0.514957845211029, 4.429683685302734, 1.5179388523101807)","(0.514957845211029, 4.429683685302734, 1.5179388523101807)",0.804825484752655,piece_103
"(-1.5975964069366455, 8.067153930664062, 3.990445137023926)","(-1.5975964069366455, 8.067153930664062, 3.990445137023926)",1.9743837118148804,piece_104
"(-3.0380001068115234, 15.214591979980469, -3.122959852218628)","(-3.0380001068115234, 15.214591979980469, -3.122959852218628)",1.2115519046783447,piece_105
"(-1.3545926809310913, 11.294487953186035, -1.495303988456726)","(-1.3545926809310913, 11.294487953186035, -1.495303988456726)",1.3407411575317383,piece_106
"(-1.8237768411636353, 15.405204772949219, -3.5195913314819336)","(-1.8237768411636353, 15.405204772949219, -3.5195913314819336)",1.4621779918670654,piece_107
"(2.989226818084717, 12.380769729614258, 5.815165996551514)","(2.989226818084717, 12.380769729614258, 5.815165996551514)",1.3751540184020996,piece_108
"(-1.498661994934082, 18.33815574645996, 1.8519662618637085)","(-1.498661994934082, 18.33815574645996, 1.8519662618637085)",0.6173458695411682,piece_109
"(1.8754258155822754, 9.690868377685547, 6.544183254241943)","(1.8754258155822754, 9.690868377685547, 6.544183254241943)",0.7554735541343689,piece_110
"(3.0380001068115234, 13.40157413482666, 0.4723179340362549)","(3.0380001068115234, 13.40157413482666, 0.4723179340362549)",1.4890193939208984,piece_111
"(-1.9486188888549805, 23.147552490234375, -7.364346981048584)","(-1.9486188888549805, 23.147552490234375, -7.364346981048584)",1.6617817878723145,piece_112
"(-3.0380001068115234, 11.038101196289062, 6.048779010772705)","(-3.0380001068115234, 11.038101196289062, 6.048779010772705)",1.2845277786254883,piece_113
"(-0.45117586851119995, 22.536285400390625, 0.12997028231620789)","(-0.45117586851119995, 22.536285400390625, 0.12997028231620789)",1.0545895099639893,piece_114
"(2.807368278503418, 11.191070556640625, 6.577871799468994)","(2.807368278503418, 11.191070556640625, 6.577871799468994)",1.5004115104675293,piece_115
"(0.49675253033638, 24.50990867614746, -1.2222199440002441)","(0.49675253033638, 24.50990867614746, -1.2222199440002441)",0.7679616212844849,piece_116
"(2.6760737895965576, 10.39660930633545, -1.8363813161849976)","(2.6760737895965576, 10.39660930633545, -1.8363813161849976)",0.6038200259208679,piece_117
"(-3.0380001068115234, 6.422970771789551, 3.6278533935546875)","(-3.0380001068115234, 6.422970771789551, 3.6278533935546875)",0.76322340965271,piece_118
"(-3.0380001068115234, 9.493108749389648, 4.962753772735596)","(-3.0380001068115234, 9.493108749389648, 4.962753772735596)",1.2161879539489746,piece_119
"(-3.0380001068115234, 20.704273223876953, -5.121877193450928)","(-3.0380001068115234, 20.704273223876953, -5.121877193450928)",1.8864667415618896,piece_120
"(-3.0380001068115234, 23.30784797668457, -3.4339747428894043)","(-3.0380001068115234, 23.30784797668457, -3.4339747428894043)",1.2918808460235596,piece_121
"(-2.2102699279785156, 20.791641235351562, -6.47109317779541)","(-2.2102699279785156, 20.791641235351562, -6.47109317779541)",1.3501089811325073,piece_122
"(-3.0380001068115234, 20.61122703552246, -5.862433433532715)","(-3.0380001068115234, 20.61122703552246, -5.862433433532715)",1.0918769836425781,piece_123
"(-3.0380001068115234, 19.348833084106445, -4.0328168869018555)","(-3.0380001068115234, 19.348833084106445, -4.0328168869018555)",1.5702838897705078,piece_124
"(-3.0380001068115234, 9.112493515014648, 6.196508407592773)","(-3.0380001068115234, 9.112493515014648, 6.196508407592773)",1.1310489177703857,piece_125
"(-3.0380001068115234, 12.218507766723633, 2.8930411338806152)","(-3.0380001068115234, 12.218507766723633, 2.8930411338806152)",1.7840367555618286,piece_126
"(-0.7055620551109314, 17.87749481201172, 2.2799952030181885)","(-0.7055620551109314, 17.87749481201172, 2.2799952030181885)",0.7862100601196289,piece_127
"(0.9368572235107422, 17.593040466308594, -5.297491073608398)","(0.9368572235107422, 17.593040466308594, -5.297491073608398)",0.891433596611023,piece_128
"(-3.0380001068115234, 21.933019638061523, -2.936969518661499)","(-3.0380001068115234, 21.933019638061523, -2.936969518661499)",1.630160927772522,piece_129
"(-0.4182691276073456, 7.703976154327393, 3.6131234169006348)","(-0.4182691276073456, 7.703976154327393, 3.6131234169006348)",1.8957743644714355,piece_130
